Language,Model,Tokens,Spearman's Rho
english,temporal_attention,4750000,0.45681428192901
english,UWB,4750000,0.3627956664164991
english,UG_Student_Intern,4750000,0.3332740582669212
english,temporal_attention,4750000,0.4533760223453243
english,UWB,4750000,0.1960993569453887
english,UG_Student_Intern,4750000,0.41484380287298367
english,temporal_attention,4750000,0.13065386418005945
english,UWB,4750000,0.22301263023837736
english,UG_Student_Intern,4750000,0.42812259850652873
english,temporal_attention,4750000,0.27529788804546107
english,UWB,4750000,0.32129943006167067
english,UG_Student_Intern,4750000,0.3132373041413041
english,temporal_attention,4750000,0.3619657416894025
english,UWB,4750000,0.37643014407594266
english,UG_Student_Intern,4750000,0.4109313005880999
english,temporal_attention,4750000,0.4392673019846826
english,UWB,4750000,0.2954532028463776
english,UG_Student_Intern,4750000,0.3272274638266462
english,temporal_attention,4750000,0.37334756651815537
english,UWB,5250000,0.35461497982083284
english,UG_Student_Intern,5250000,0.37322900584285584
english,temporal_attention,5250000,0.37322900584285584
english,UWB,5250000,0.3120516973883089
english,UG_Student_Intern,5250000,0.40524038817372343
english,temporal_attention,5250000,0.3422846695896839
english,UWB,5250000,0.3510581595618476
english,UG_Student_Intern,5250000,0.4507676874887351
english,temporal_attention,5250000,0.3525994483407412
english,UWB,5250000,0.24565771922058366
english,UG_Student_Intern,5250000,0.3904203037612847
english,temporal_attention,5250000,0.5171616656564604
english,UWB,5250000,0.2077183031247406
english,UG_Student_Intern,5250000,0.32189223343816825
english,temporal_attention,5250000,0.46523208987527526
english,UWB,5250000,0.26557591267090125
english,UG_Student_Intern,5250000,0.37488885529704896
english,temporal_attention,5250000,0.1338550024131462
english,UWB,5250000,0.1901713231804132
english,UG_Student_Intern,5250000,0.3912502284883813
english,temporal_attention,5250000,0.2914221398861943
english,UWB,5250000,0.2840713780176248
english,UG_Student_Intern,5250000,0.37299188449225684
english,temporal_attention,5250000,0.3043452534938409
english,UWB,5250000,0.37370324854405396
english,UG_Student_Intern,5250000,0.3833066632433142
english,temporal_attention,5250000,0.41638509165187737
english,UWB,5250000,0.4250400209487415
english,UG_Student_Intern,5250000,0.21305353351321854
english,temporal_attention,5250000,0.4268184310782342
english,UWB,5750000,0.3502282348347511
english,UG_Student_Intern,5750000,0.42124607933915725
english,temporal_attention,5750000,0.3936214419943715
english,UWB,5750000,0.23795127532611557
english,UG_Student_Intern,5750000,0.33872784933069855
english,temporal_attention,5750000,0.2889323657049046
english,UWB,5750000,0.33588239312351037
english,UG_Student_Intern,5750000,0.3625585450659
english,temporal_attention,5750000,0.4533760223453243
english,UWB,5750000,0.30197403998785066
english,UG_Student_Intern,5750000,0.38425514864571025
english,temporal_attention,5750000,0.43725177050459096
english,UWB,5750000,0.3412176235119883
english,UG_Student_Intern,5750000,0.30363388944204384
english,temporal_attention,5750000,0.20096034463266857
english,UWB,5750000,0.34145474486258737
english,UG_Student_Intern,5750000,0.324619128970057
english,temporal_attention,5750000,0.1484379654749859
english,UWB,5750000,0.3945699273967676
english,UG_Student_Intern,5750000,0.35556346522322896
english,temporal_attention,5750000,0.2972316129758703
english,UWB,5750000,0.2659315946967998
english,UG_Student_Intern,5750000,0.3471456572769638
english,temporal_attention,5750000,0.26640583739799784
english,UWB,5750000,0.36386271249419466
english,UG_Student_Intern,5750000,0.3597130888587118
english,temporal_attention,5750000,0.49653210815434573
english,UWB,5750000,0.23060051345754595
english,UG_Student_Intern,5750000,0.24909597880426942
english,temporal_attention,5750000,0.30659790632453154
english,UWB,6250000,0.35425929779493437
english,UG_Student_Intern,6250000,0.30825775577872466
english,temporal_attention,6250000,0.36670816870138284
english,UWB,6250000,0.27577213074665907
english,UG_Student_Intern,6250000,0.34833126402995884
english,temporal_attention,6250000,0.42515858162404097
english,UWB,6250000,0.33920209203189666
english,UG_Student_Intern,6250000,0.3179797311532845
english,temporal_attention,6250000,0.3962297768509607
english,UWB,6250000,0.3657596832989868
english,UG_Student_Intern,6250000,0.33872784933069855
english,temporal_attention,6250000,0.36208430236470196
english,UWB,6250000,0.31062896928471484
english,UG_Student_Intern,6250000,0.29023653313319925
english,temporal_attention,6250000,0.3094433625317198
english,UWB,6250000,0.24150809558510083
english,UG_Student_Intern,6250000,0.40832296573151067
english,temporal_attention,6250000,0.11678226517001686
english,UWB,6250000,0.26664295874859684
english,UG_Student_Intern,6250000,0.312763061440106
english,temporal_attention,6250000,0.3049380568703384
english,UWB,6250000,0.306716466999831
english,UG_Student_Intern,6250000,0.41638509165187737
english,temporal_attention,6250000,0.3490426280817559
english,UWB,6250000,0.35141384158774613
english,UG_Student_Intern,6250000,0.33528958974701284
english,temporal_attention,6250000,0.30695358835043
english,UWB,6250000,0.31062896928471484
english,UG_Student_Intern,6250000,0.37322900584285584
english,temporal_attention,6250000,0.4945165766742541
